file,cases,dates,kind
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0025.pdf,,2025-09-04,order_related
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0023.pdf,,2025-09-04,order_related
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0020.pdf,,2025-09-04,unknown
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0018.pdf,,2025-09-04,order_related
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0017.pdf,,2025-09-11,order_related
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0009.pdf,,2025-09-04,order_related
scanned_300/SCANNEDhealthwest2ndscanned_0006/healthwest2ndscanned_0007.pdf,,2025-09-04,order_related
scanned_300/SCANNED2sided judge orders scanned_0001/2sided judge orders scanned_0001.pdf,2024-001507-DC,"2025-01-26,2025-11-26",order_related
scanned_300/SCANNED2sided judge orders scanned_0001/2sided judge orders scanned_0009.pdf,2024-001507-DC,2024-08-23,order_related
scanned_300/SCANNED2sided judge orders scanned_0001/2sided judge orders scanned_0007.pdf,2024-001507-DC,"2025-04-24,2025-05-20",order_related
scanned_300/SCANNED2sided judge orders scanned_0001/2sided judge orders scanned_0003.pdf,2024-001507-DC,"2025-01-26,2025-09-12,2025-10-29,2025-12-05",order_related
scanned_300/SCANNED2sided judge orders scanned_0001/2sided judge orders scanned_0004.pdf,2024-001507-DC,"2025-08-08,2025-08-22,2025-09-04,2025-09-22",order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0001.pdf,2023-005907-PP,2024-12-09,order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0002.pdf,2024-001507-DC,2024-04-12,order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0076.pdf,,2024-04-26,unknown
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0068.pdf,,2024-04-26,service
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0069.pdf,2024-001507-DC,2024-06-05,service
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0065.pdf,,2024-04-26,order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0063.pdf,,2024-05-03,order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0062.pdf,,2025-03-10,notice
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0053.pdf,2023-005907-PP,2025-02-28,hearing_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0051.pdf,2024-001507-DC,"2024-04-29,2024-06-05",notice
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0052.pdf,2024-001507-DC,2024-06-05,service
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0048.pdf,,2024-05-30,order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0013.pdf,,2024-04-26,unknown
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0011.pdf,,2024-04-26,unknown
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0012.pdf,,2024-04-26,unknown
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0007.pdf,2024-001507-DC,"2024-04-29,2024-06-05",notice
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0008.pdf,2024-001507-DC,2024-06-05,service
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0009.pdf,,2024-04-26,order_related
scanned_300/SCANNEDcustody scanned_0001/custody scanned_0003.pdf,2024-001507-DC,2025-09-09,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0030.pdf,,2025-02-28,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0026.pdf,,"2024-12-04,2025-01-07",service
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0025.pdf,,"2023-12-04,2024-04-11",service
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0023.pdf,,"2021-02-28,2025-02-28",order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0024.pdf,,"2024-11-27,2024-12-04",order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0022.pdf,,"2023-12-04,2025-10-27,2026-12-04",service
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0020.pdf,2023-005907-PP,2025-06-12,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0021.pdf,,2025-10-27,service
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0019.pdf,,2024-10-30,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0018.pdf,,2025-02-28,order_related
