src,dst,relation,weight,notes
MCR-1.101@2025-05-01,MCR-9.251@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.210@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.313@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.721@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.114@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.115@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.911@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.316@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.313@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.201@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.209@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.218@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.221@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.105@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.505@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.219@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.517@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.120@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.703@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.101@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.223@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.308@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.941-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.720@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.222@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.103@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.936@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.128@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.119@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.506@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.907@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.203@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.614@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.100@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.110@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.301@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.715@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.315@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.942@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.205@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.613@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.131@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.937@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.002@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.223@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.310@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.611@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.114@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.501@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.111@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.605@2025-05-01,cross_refs,1,auto-cite
