":ID",":LABEL","name","bates_number","lane","source"
"EXHB_133","Exhibit","A","PIGORS-F01-0133","","judicial_bias_chronology"
"EXHB_134","Exhibit","A","PIGORS-F01-0134","","judicial_bias_chronology"
"EXHB_135","Exhibit","A","PIGORS-F01-0135","","judicial_bias_chronology"
"EXHB_136","Exhibit","A","PIGORS-F01-0136","","judicial_bias_chronology"
"EXHB_137","Exhibit","A","PIGORS-F01-0137","","judicial_bias_chronology"
"EXHB_138","Exhibit","A","PIGORS-F01-0138","","judicial_bias_chronology"
"EXHB_139","Exhibit","A","PIGORS-F01-0139","","judicial_bias_chronology"
"EXHB_140","Exhibit","A","PIGORS-F01-0140","","judicial_bias_chronology"
"EXHB_141","Exhibit","A","PIGORS-F01-0141","","judicial_bias_chronology"
"EXHB_142","Exhibit","A","PIGORS-F01-0142","","judicial_bias_chronology"
"EXHB_143","Exhibit","A","PIGORS-F01-0143","","judicial_bias_chronology"
"EXHB_144","Exhibit","A","PIGORS-F01-0144","","judicial_bias_chronology"
"EXHB_145","Exhibit","A","PIGORS-F01-0145","","judicial_bias_chronology"
"EXHB_146","Exhibit","A","PIGORS-F01-0146","","judicial_bias_chronology"
"EXHB_147","Exhibit","A","PIGORS-F01-0147","","judicial_bias_chronology"
"EXHB_148","Exhibit","A","PIGORS-F01-0148","","judicial_bias_chronology"
"EXHB_149","Exhibit","A","PIGORS-F01-0149","","judicial_bias_chronology"
"EXHB_150","Exhibit","A","PIGORS-F01-0150","","judicial_bias_chronology"
"EXHB_151","Exhibit","A","PIGORS-F01-0151","","judicial_bias_chronology"
"EXHB_152","Exhibit","A","PIGORS-F01-0152","","judicial_bias_chronology"
"EXHB_153","Exhibit","A","PIGORS-F01-0153","","judicial_bias_chronology"
"EXHB_154","Exhibit","A","PIGORS-F01-0154","","judicial_bias_chronology"
"EXHB_155","Exhibit","A","PIGORS-F01-0155","","judicial_bias_chronology"
"EXHB_156","Exhibit","A","PIGORS-F01-0156","","judicial_bias_chronology"
"EXHB_157","Exhibit","A","PIGORS-F01-0157","","judicial_bias_chronology"
"EXHB_158","Exhibit","A","PIGORS-F01-0158","","judicial_bias_chronology"
"EXHB_159","Exhibit","A","PIGORS-F01-0159","","judicial_bias_chronology"
"EXHB_160","Exhibit","A","PIGORS-F01-0160","","judicial_bias_chronology"
