":ID",":LABEL","factor","favors_party","lane","relevance_score"
"BIF_39482","BestInterestFactor","j","andrew","","10.0"
"BIF_39487","BestInterestFactor","j","andrew","","10.0"
"BIF_39490","BestInterestFactor","j","andrew","","10.0"
"BIF_39492","BestInterestFactor","j","andrew","","10.0"
"BIF_39496","BestInterestFactor","j","andrew","","10.0"
"BIF_39499","BestInterestFactor","j","andrew","","10.0"
"BIF_39503","BestInterestFactor","j","andrew","","10.0"
"BIF_39506","BestInterestFactor","j","andrew","","10.0"
"BIF_39508","BestInterestFactor","j","andrew","","10.0"
"BIF_39512","BestInterestFactor","j","andrew","","10.0"
"BIF_39516","BestInterestFactor","j","andrew","","10.0"
"BIF_39520","BestInterestFactor","j","andrew","","10.0"
"BIF_39522","BestInterestFactor","j","andrew","","10.0"
"BIF_39524","BestInterestFactor","j","andrew","","10.0"
"BIF_39526","BestInterestFactor","j","andrew","","10.0"
"BIF_39528","BestInterestFactor","j","andrew","","10.0"
"BIF_39531","BestInterestFactor","j","andrew","","10.0"
"BIF_39533","BestInterestFactor","j","andrew","","10.0"
"BIF_39535","BestInterestFactor","j","andrew","","10.0"
"BIF_39537","BestInterestFactor","j","andrew","","10.0"
"BIF_39539","BestInterestFactor","j","andrew","","10.0"
"BIF_39541","BestInterestFactor","j","andrew","","10.0"
"BIF_39543","BestInterestFactor","j","andrew","","10.0"
"BIF_39546","BestInterestFactor","j","andrew","","10.0"
"BIF_39549","BestInterestFactor","j","andrew","","10.0"
"BIF_39553","BestInterestFactor","j","andrew","","10.0"
"BIF_39558","BestInterestFactor","j","andrew","","10.0"
"BIF_39560","BestInterestFactor","j","andrew","","10.0"
"BIF_39564","BestInterestFactor","j","andrew","","10.0"
"BIF_39567","BestInterestFactor","j","andrew","","10.0"
"BIF_39571","BestInterestFactor","j","andrew","","10.0"
"BIF_39575","BestInterestFactor","j","andrew","","10.0"
"BIF_39579","BestInterestFactor","j","andrew","","10.0"
"BIF_39582","BestInterestFactor","j","andrew","","10.0"
"BIF_39587","BestInterestFactor","j","andrew","","10.0"
"BIF_39591","BestInterestFactor","j","andrew","","10.0"
"BIF_39597","BestInterestFactor","j","andrew","","10.0"
"BIF_39599","BestInterestFactor","j","andrew","","10.0"
"BIF_39602","BestInterestFactor","j","andrew","","10.0"
"BIF_39609","BestInterestFactor","j","andrew","","10.0"
"BIF_39613","BestInterestFactor","j","andrew","","10.0"
"BIF_39616","BestInterestFactor","j","andrew","","10.0"
"BIF_39620","BestInterestFactor","j","andrew","","10.0"
"BIF_39622","BestInterestFactor","j","andrew","","10.0"
"BIF_39625","BestInterestFactor","j","andrew","","10.0"
"BIF_39629","BestInterestFactor","j","andrew","","10.0"
"BIF_39633","BestInterestFactor","j","andrew","","10.0"
