"Extension","Count","SizeMB"
".tiktoken","6","6.7"
".prettierignore","6","0"
".part17","6","198"
".cip","6","0.1"
".aifc","5","0"
".lzma","5","0"
".kv1","5","0"
".ffpreset","5","0"
".user-patterns","5","0"
".pptx","5","9.5"
".editorconfig_ede54e8b","5","0"
".user-words","5","0"
".ps","5","0.1"
".lark","5","0"
".DS_Store","5","0"
".dbd","5","1.6"
".dia","5","0"
".CHK","5","2.2"
".gram","5","0.2"
".guess","5","0.2"
".gzip","5","0"
".thrift","5","0"
".images","5","0"
".terms","5","0"
".bib","5","0"
".gitattributes_5fe8be92","5","0"
".bash","5","0"
".ja","5","49.8"
".supp","5","0"
".sub","5","0.2"
".gexf","5","0"
".dbx","5","7.1"
".stderr","5","0"
".eslintrc_317b53d3","5","0"
".nycrc_948366fe","5","0"
".eslintrc_e9df6c3b","5","0"
".eslintrc_f441ce02","5","0"
".part01","5","165"
".eslintrc_cd5d0efd","5","0"
".nochop","5","0"
".mp3","5","30"
".marker","5","0"
".onnx","5","109.5"
".part10","5","165"
".eslintrc_500a324d","5","0"
".eslintrc_642b1b0f","5","0"
".part05","5","165"
".nycrc_a9f4d73a","5","0"
".part20","5","154.5"
".nycrc_997785c5","5","0"
".eslintrc_3c448068","5","0"
".pf","5","0.2"
".expected","5","0"
".mef-composition","5","1.9"
".natvis","5","0"
".part06","4","132"
".devcontainer__Dockerfile","4","0"
".B99","4","0"
".jfc","4","0.1"
".part03","4","132"
".binlog","4","1.3"
".parquet","4","0"
".A99","4","0"
".idx","4","0.1"
".part08","4","132"
".pack","4","61.5"
".orc","4","0"
".z06","4","2000"
".zsh","4","0"
".npmignore_d5cc148e","4","0"
".npmignore_e4f25935","4","0"
".tmd","4","0"
".buildinfo","4","0"
".sys","4","0.4"
".pickle","4","1.6"
".part07","4","132"
".apk","4","2.6"
".eslintrc_06940501","4","0"
".evtx","4","2.3"
".lz4","4","0.2"
".xls","4","6.3"
".VSIXPackage","4","10.9"
".flowconfig_edfab7b4","4","0"
".list","4","0"
".nupkg","4","0.1"
".jsonld","4","0"
".25","4","393.2"
".rld","4","0.4"
".bzl","4","0"
".keep","4","0"
".part09","4","132"
".jsonlz4","4","0"
".settings","4","0"
".xpi","4","3.7"
".g4","4","0"
".url","3","0"
".vscodeignore","3","0"
".xsx","3","0"
".hintrc","3","0"
".psd","3","2.1"
".prettierrc","3","0"
".gyp","3","0"
".man","3","0.6"
".metadata-v2","3","0"
".part21","3","48"
".sqlite3","3","0.1"
".loaded_1","3","0.3"
".thmx","3","0.1"
".vmoptions","3","0"
".tf","3","0"
".iml","3","0"
".less","3","0"
".part004","3","90"
".stp","3","0"
".part007","3","90"
".nc","3","0"
".z","3","0"
".inv","3","0.4"
".ld","3","0"
".part009","3","90"
".rev","3","0"
".part02","3","99"
".selx","3","0"
".mgc","3","14.1"
".tbr","3","0.1"
".zz","3","0"
".github__CODEOWNERS","3","0"
".abi","3","4.7"
".amr","3","0.5"
".bmp","3","0"
".bpl","3","3.2"
".adoc","3","0"
".git-blame-ignore-revs","3","0"
".cmb","3","0"
".apache2","3","0"
".fits","3","0"
".appx","3","12"
".gitconfig","3","0"
".disabled","3","12"
".eslintrc_copy23","2","0"
".vsixmanifest_copy18","2","0"
".msixbundle","2","668.1"
".msi","2","0"
".mozlz4","2","0"
".model","2","0"
".mm","2","0"
".vsixmanifest_copy10","2","0"
".eslintrc_copy20","2","0"
".vsixmanifest_copy19","2","0"
".mit","2","0"
".vsixmanifest_copy1","2","0"
".nycrc_copy3","2","0"
".new","2","13.1"
".vsixmanifest_copy11","2","0"
".njs","2","0"
".eslintrc_copy21","2","0"
".eslintrc_copy24","2","0"
".ns","2","0"
".vsixmanifest_copy12","2","0"
".vsixmanifest_copy13","2","0"
".npmignore_copy6","2","0"
".nvmrc_copy1","2","0"
".nls","2","1.6"
".npmignore_copy5","2","0"
".npmignore_copy3","2","0"
".vsixmanifest_copy14","2","0"
".eslintrc_copy22","2","0"
".vsixmanifest_copy15","2","0"
".vsixmanifest_copy16","2","0"
".vsixmanifest_copy17","2","0"
".npmignore_copy4","2","0"
".npmignore_copy2","2","0"
".eslintrc_copy9","2","0"
".eslintrc_copy8","2","0"
".vsixmanifest_copy30","2","0"
".vsixmanifest_copy31","2","0"
".vsixmanifest_copy32","2","0"
".vsixmanifest_copy33","2","0"
".flowconfig_copy1","2","0"
".vsixmanifest_copy34","2","0"
".vsixmanifest_copy35","2","0"
".vsixmanifest_copy3","2","0"
".little","2","0.1"
".vsixmanifest_copy37","2","0"
".vsixmanifest_copy38","2","0"
".vsixmanifest_copy39","2","0"
".vsixmanifest_copy4","2","0"
".frag","2","0"
".vsixmanifest_copy40","2","0"
".vsixmanifest_copy41","2","0"
".vsixmanifest_copy36","2","0"
".mfl","2","0"
".f95","2","0"
".vsixmanifest_copy28","2","0"
".nycrc_copy4","2","0"
".mdc","2","0"
".mdb","2","0.8"
".vsixmanifest_copy2","2","0"
".vsixmanifest_copy20","2","0"
".vsixmanifest_copy21","2","0"
".vsixmanifest_copy22","2","0"
