anchor_kind,anchor_token,count
MRE,MRE 707,2
MRE,MRE 701,2
MCL,MCL 600.2552,2
MCR,"MCR
              6.001",2
MCR,MCR 1.101,1
MCR,"MCR
              8.119",1
MCR,"MCR
                         1.109",1
MCL,MCL 8.3q,1
MCR,"MCR
                        1.109",1
MCR,"MCR
                          8.119",1
MCR,"MCR
                        2.107",1
MCL,MCL 600.857,1
MCL,MCL 600.878,1
MCL,MCL 600.880,1
MCL,MCL 600.880a,1
MCL,MCL 600.880b,1
MCL,MCL 600.880c,1
MCL,MCL 600.1027,1
MCL,MCL 600.5756,1
MCL,MCL 600.8420,1
MCL,MCL 700.2517,1
MCL,MCL 722.717,1
MCL,MCL 600.2963,1
MCL,MCL 600.5701-600.5759,1
MCL,MCL 450.4102,1
MCR,"MCR
                   2.107",1
MCL,"MCL
              600.2912d",1
MCR,"MCR
               1.109",1
MCR,MCR 2.605,1
MCL,MCL 600.2957,1
MCL,MCL 600.6304,1
MCL,MCL 600.2301,1
MCL,MCL 445.251,1
MCL,MCL 600.2912c,1
MCR,MCR 2.110,1
MCR,"MCR
                   2.602",1
MCR,"MCR
              2.111",1
MCL,MCL 500.3030,1
MCL,MCL 600.1653,1
MCR,MCR 2.227,1
MCR,MCR 3.605,1
MCR,"MCR
                   2.308",1
MCR,"MCR
                   3.930",1
MCR,MCR 2.316,1
MCR,"MCR
               2.201",1
MCL,MCL 600.2201,1
MCR,"MCR
              2.313",1
MCR,"MCR
              2.314",1
MCR,"MCR
              2.305",1
MCR,"MCR
               2.305",1
MCR,"MCR
         2.306",1
MCR,MCR 2.307,1
MCR,"MCR
                   2.302",1
MCR,"MCR
                         2.306",1
MCR,"MCR
                          2.306",1
MCR,"MCR
              2.311",1
MCR,MCR 2.312,1
MCR,"MCR
              2.315",1
MCR,"MCR
              2.401",1
MCR,MCR 2.404,1
MCR,"MCR
         2.404",1
MCR,"MCR
              2.002",1
MCL,MCL 600.4915,1
MCL,MCL 600.4963,1
MCR,"MCR
                   8.112",1
MCR,"MCR
              3.216",1
MCR,"MCR
              2.410",1
MCR,"MCR
              2.411",1
MCL,MCL 700.1106,1
MCL,MCL 400.11,1
MCL,MCL 700.5102,1
MCR,"MCR
              3.501",1
MCR,"MCR
              2.105",1
MCR,"MCR
         2.508",1
MCL,MCL 600.1324,1
MCR,MCR 1.201,1
MCR,MCR 2.512,1
MCR,"MCR
         2.611",1
MCL,MCL 324.40119,1
MCL,MCL 324.48740,1
MCR,"MCR
         2.601",1
MCR,MCR 2.622,1
MCL,MCL 600.6101-600.6143,1
MCL,MCL 600.6110,1
MCL,MCL 600.6119,1
MCL,MCL 566.31,1
MCL,MCL 600.2591,1
MCL,MCL 600.308a,1
USC,42 USC 670,1
MCL,"MCL
         700.5204",1
USC,43 USC 1602,1
MCL,MCL 700.5213,1
MCL,MCL 722.24,1
MCL,MCL 722.630,1
USC,18 USC 1151,1
MCR,MCR 3.603,1
MCR,MCR 3.103,1
MCL,MCL 600.2920,1
MCR,MCR 8.204,1
MCL,MCL 600.2909,1
MCR,MCR 3.223,1
MCR,MCR 3.230,1
MCL,MCL 552.451,1
MCL,"MCL
              722.1",1
MCL,MCL 722.21,1
MCL,"MCL
              722.1491",1
MCL,MCL 722.4e,1
MCL,MCL 722.1209,1
MCL,MCL 722.27,1
MCL,MCL 722.27a,1
MCR,MCR 2.502,1
MCR,MCR 3.224,1
MCL,MCL 552.101,1
MCL,MCL 722.31,1
MCR,MCR 3.214,1
MCL,MCL 333.2864,1
MCL,MCL 780.153b,1
MCL,MCL 722.1304,1
MCL,MCL 552.507,1
MCL,"MCL
              552.607",1
MCL,MCL 552.502,1
MCL,MCL 552.13,1
MCL,MCL 722.711,1
MCL,"MCL
         722.716",1
MCL,MCL 722.714,1
MCR,MCR 3.219,1
MCL,"MCL
         552.501",1
MCL,MCL 552.631,1
MCL,"MCL
              552.631",1
MCL,MCL 691.1331,1
MCR,MCR 2.101,1
MCR,"MCR
         2.102",1
MCL,"MCL
         691.1335",1
MCL,MCL 691.1339,1
MCR,"MCR
         3.210",1
MCL,"MCL
              552.513",1
MCL,MCL 552.513,1
MCL,"MCL
                         552.603",1
MCL,MCL 722.1495,1
MCL,MCL 600.4337,1
MCR,MCR 3.402,1
MCR,MCR 3.403,1
MCL,"MCL
              600.6052",1
MCL,MCL 700.5421,1
MCL,MCL 600.3170,1
MCL,MCL 451.401-451.405,1
MCL,MCL 600.2932,1
MCL,"MCL
         600.5701-600.5759",1
MCL,MCL 570.1101,1
MCR,"MCR
                   2.102",1
MCL,MCL 691.1681,1
MCL,"MCL
         691.1683",1
MCR,MCR 2.206,1
MCR,MCR 2.202,1
MCR,MCR 2.109,1
MCL,"MCL
         600.2631",1
MCL,MCL 765.28,1
MCR,"MCR
         3.604",1
MCL,MCL 552.602,1
MCL,MCL 600.3501,1
MCL,MCL 600.3501-600.3515,1
MCL,MCL 450.1801,1
MCR,"MCR
              2.106",1
MCR,MCR 3.611,1
MCR,"MCR
          2.106",1
MCR,"MCR
                   2.106",1
MCL,MCL 722.902,1
MCL,MCL 400.645,1
MCL,MCL 400.663,1
MCL,MCL 400.655,1
MCR,MCR 3.702,1
