label,count
Plaintiff_shall_next_exercise_parenting_time_fmm_Friday;August_23;L_2024;at;Node;Violation;Kind_violation,4
Plaintiff_shall_next_exercise_parenting_time_from_Friday;August_9;L_2024;at;Node;Violation;Kind_violation,4
Node;Violation;alternatingweekswithexchangesonFridayat5_30p_m_Thefather_sparentingtimeshallbeginonMay3;L_2024;Kind_violation,4
Node;Violation;parties_to_mnduct_the_parenting_time_exchanges_There_shall_be_no_communication_at;Kind_violation,4
Node;Violation;child_in_April_2024_and_that_was_the_first_appointment_Plaintiff_has_attended;Kind_violation,4
Defendant_s_need_to_secure_a_PPO_against_Plaintiff;Node;Violation;Kind_violation,4
IT_IS_HEREBY_ORDERED_the_parties_shall_equally_share_parenting_time_witli_the_minor_child_on;Node;Violation;Kind_violation,4
Node;PARENTING_TIME;Violation;Kind_violation,4
Except_otherwise_provided_in_this_Oi_der;neither_parent_shall_exercise_parentixig_time_in_a_foreign;Node;Violation;Kind_violation,4
Node;Violation;and_Child_Support;Kind_violation,4
L_8_All_expert_witnesses_necessary_for_impeachment;Node;Violation;Kind_violation,4
A_Grant_a_Judicial_Review_of_the_Ex_Parte_Order_for_Custody;Parenting_Time;Node;Violation;Kind_violation,4
Node;RECEIVED_5_30_2024;Violation;Kind_violation,4
Node;Violation;shall_be_limited_to_three_witnesses_each_Additional_witnesses_shall_require_Court;Kind_violation,4
Node;The_Court_finds_that_Plaintiff_Father_is_currently_self_employed_and_was_recently;Violation;Kind_violation,4
Motion_to_Dismiss_Objections_in_Custody_Case;Motion_to_Impeach;Node;Protective_Order;Violation;Kind_violation,4
Node;Violation;the_legal_residence_of_the_child_except_in_compliance_with_Section_11_of_the_Child_Custody_Act_of_1970;L_1970;Kind_violation,4
A_parent_whose_custody_or_parenting_time_of_a_child_is_governed_by_this_order_shall_not_change;Node;Violation;Kind_violation,4
Node;Violation;child_s_legal_residence_at_the_time_of_this_Judgment;unless_i_the_other_parent_consents;Kind_violation,4
Node;Violation;the_name_and_address_of_his_or_her_current_source_of_income_and_of_any_health_care;Kind_violation,4
Node;Violation;participate_in_extra_curricular_activities_The_party_exercising_parenting_time_shall_be;Kind_violation,4
Node;Violation;friend_of_the_court_is_not_required_to_act_on_more_than_one_request_received_from_a_party_each_36_months_A_party_may;Kind_violation,4
i_The_reasonable_preference_of_the_child;if_the_court_considers_the_child_to_be_of_sufficient_age;Node;Violation;Kind_violation,4
Node;Violation;considered;evaluated;and_determined_by_the_court;Kind_violation,4
Friend_ofthe_court;Node;Violation;Kind_violation,4
Node;Violation;We_have_received_your_response_to_the_State_Tax_Refund_Pre_Offset_Notice_Upon_review;the_amount_owed;at;Kind_violation,4
Node;Violation;parent_may_contest_the_notice_by_requesting_a_review_or_hearing_concerning_availability_of_health_care_at_a_reasonable;Kind_violation,4
Node;OFFICE_OF_THE_FRIEND_OF_THE_COURT;Violation;Kind_violation,4
Node;Violation;parenting_time_begins;and_then_at_the_conclusion_of_the_holiday_parenting_time;regular;Kind_violation,4
Node;Violation;WHEREFORE;Defendant;Emily_Ann_Watson;respectfully_requests_this_Court;Kind_violation,4
Node;Violation;following_Order_from_the_Bench;with_the_Order_being_enforceable_effective_July_17;Kind_violation,4
Judge_Hon_Jenny_L_Mcneill;Node;Violation;Kind_violation,4
Node;Violation;period_of_time;but_the_Court_as_it_appears_she;Kind_violation,4
Family_Court_Specialist;Node;Violation;Kind_violation,4
the;Each_party_shall_also_keep_Family_Court_Services_informed_of_any_health_care_coverage_available_to_them;Node;Violation;Kind_violation,4
Each_party_shall_immediately_notify_the_Office_of_Family_Court_Services;in_writing;of_any_changes_in;Node;Violation;Kind_violation,4
L_14TH_CIRCUIT_COURT_FAMILY_DIVISION;Node;Violation;Kind_violation,4
HON_JENNY_L_MCNEILL_P_58235;Node;Violation;Kind_violation,4
