dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_new_primary_all,ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,MEEK4,7,51.82,41.589999999999996
pack_old_all,healthwest2ndscanned_0018.pdf,MEEK2,7,33.84,27.64428571428571
pack_old_all,healthwest2ndscanned_0003.pdf,MEEK2,7,33.81,29.665714285714284
pack_old_all,dockets notices proofs scanned_0005.pdf,MEEK3,7,31.36,27.62857142857143
pack_old_all,custody_scanned2_0007.pdf.txt,MEEK2,7,28.31,20.330000000000002
pack_new_primary_all,d936b8f2-5418-460d-a0aa-81acac8d6acd.zip,MEEK3,6,53.56,52.156666666666666
pack_old_all,healthwest2ndscanned_0017.pdf,MEEK2,6,32.84,27.69333333333333
pack_old_all,2sided_judge_orders_scanned_0003.pdf.txt,MEEK3,6,27.18,23.243333333333336
pack_old_all,2sided_judge_orders_scanned_0005.pdf.txt,MEEK4,6,26.32,21.706666666666667
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200.pdf.txt,MEEK3,6,25.09,25.09
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200_1_.pdf.txt,MEEK3,6,25.09,25.09
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200_2_.pdf.txt,MEEK3,6,25.09,25.09
pack_old_all,custody_scanned_0017.pdf.txt,MEEK2,6,24.72,22.061666666666667
pack_new_primary_all,Gmail - Healthwest Exam_1_RUSCO (5).pdf,MEEK2,5,77.97,54.348
pack_new_primary_all,Gmail - Healthwest Exam_1_RUSCO (8).pdf,MEEK2,5,77.97,54.348
pack_new_primary_all,Gmail - Healthwest Exam_1_RUSCO (9).pdf,MEEK2,5,77.97,54.348
pack_new_primary_all,Gmail - Healthwest Exam_2_RUSCO (6).pdf,MEEK2,5,77.97,54.348
pack_new_primary_all,Gmail - Healthwest Exam_3_RUSCO (7).pdf,MEEK2,5,77.97,54.348
pack_new_primary_all,7a619538-45e5-4488-9eb4-e0d1894a06cc.md,MEEK3,5,59.41,40.71
pack_new_mixed_all,7a619538-45e5-4488-9eb4-e0d1894a06cc.md,MEEK2,5,55.97,49.572
pack_new_primary_all,7a619538-45e5-4488-9eb4-e0d1894a06cc.md,MEEK4,5,51.41,42.368
pack_old_all,healthwest2ndscanned_0025.pdf,MEEK2,5,39.81,31.01
pack_old_all,Gmail - Healthwest Exam_1_RUSCO (5).pdf,MEEK2,5,37.98,32.55
pack_old_all,Gmail - Healthwest Exam_1_RUSCO (8).pdf,MEEK2,5,37.98,32.55
pack_old_all,Gmail - Healthwest Exam_1_RUSCO (9).pdf,MEEK2,5,37.98,32.55
pack_old_all,Gmail - Healthwest Exam_2_RUSCO (6).pdf,MEEK2,5,37.98,32.55
pack_old_all,Gmail - Healthwest Exam_3_RUSCO (7).pdf,MEEK2,5,37.98,32.55
pack_old_all,court_docs_ppo_cust_scanned_0014.pdf.txt,MEEK2,5,33.84,23.3
pack_old_all,jtc_scanned_0011.pdf.txt,MEEK3,5,32.25,27.988
pack_old_all,dockets notices proofs scanned_0003.pdf,MEEK3,5,31.38,27.51
pack_old_all,dockets notices proofs scanned_0002.pdf,MEEK3,5,30.44,29.434000000000005
pack_old_all,custody_scanned_0014.pdf.txt,MEEK2,5,29.39,24.96
pack_old_all,cd4d925c-fcd2-41a7-915a-102a20b92b40.pdf,MEEK3,5,29.35,25.860000000000003
pack_old_all,custody_scanned2_0003.pdf.txt,MEEK2,5,26.48,18.892
pack_old_all,custody_scanned2_0010.pdf.txt,MEEK2,5,26.38,21.503999999999998
pack_old_all,7a619538-45e5-4488-9eb4-e0d1894a06cc.md,MEEK3,5,25.82,24.068
pack_old_all,custody_scanned_0067.pdf.txt,MEEK2,5,24.79,21.572
pack_old_all,custody_scanned_0022.pdf.txt,MEEK2,5,24.72,22.322
pack_old_all,custody_scanned2_0022.pdf.txt,MEEK2,5,24.37,21.080000000000002
pack_old_all,6683a8d8-d1aa-4b3f-8b3a-24d8e423201b.pdf,MEEK3,5,23.32,21.756
pack_old_all,custody_scanned2_0051.pdf.txt,MEEK2,5,18.47,16.736
pack_new_primary_all,d8c1df2c-f070-4111-8b75-8064f1a6a996.md,MEEK4,4,55.05,43.265
pack_old_all,3055edeb-0469-492a-9865-021bb87dcc03.md,MEEK4,4,38.48,30.735
pack_old_all,court_docs_ppo_cust_scanned_0017.pdf.txt,MEEK2,4,33.84,25.1325
pack_old_all,healthwest2ndscanned_0004.pdf,MEEK2,4,32.81,27.1
pack_old_all,healthwest2ndscanned_0019.pdf,MEEK2,4,32.14,28.642500000000002
pack_old_all,dockets notices proofs scanned_0023.pdf,MEEK3,4,31.82,29.6225
pack_old_all,custody_scanned2_0020.pdf.txt,MEEK2,4,28.65,22.4
pack_old_all,court_docs_ppo_cust_scanned_0008.pdf.txt,MEEK2,4,27.82,19.53
pack_old_all,dockets_notices_proofs_scanned_0023.pdf.txt,MEEK3,4,27.74,27.305
pack_old_all,custody_scanned2_0073.pdf.txt,MEEK2,4,27.49,22.3825
pack_old_all,2sided_judge_orders_scanned_0005.pdf.txt,MEEK3,4,27.44,25.380000000000003
pack_old_all,court_docs_ppo_cust_scanned_0020.pdf.txt,MEEK2,4,26.57,21.7625
pack_old_all,custody_scanned2_0009.pdf.txt,MEEK2,4,26.32,23.0975
pack_old_all,custody_scanned2_0021.pdf.txt,MEEK2,4,26.32,24.1125
pack_old_all,custody_scanned_0055.pdf.txt,MEEK2,4,25.75,22.4025
pack_old_all,custody_scanned_0021.pdf.txt,MEEK2,4,25.74,22.9325
pack_old_all,custody_scanned_0016.pdf.txt,MEEK2,4,25.72,22.3875
pack_old_all,custody_scanned2_0008.pdf.txt,MEEK2,4,24.73,22.9175
pack_old_all,2sided_judge_orders_scanned_0017.pdf.txt,MEEK2,4,24.72,22.595
pack_old_all,custody_scanned_0046.pdf.txt,MEEK2,4,24.46,20.9775
pack_old_all,custody_scanned2_0004.pdf.txt,MEEK2,4,24.4,18.3075
pack_old_all,custody_scanned2_0016.pdf.txt,MEEK2,4,24.4,18.3075
pack_old_all,custody_scanned2_0043.pdf.txt,MEEK2,4,22.56,20.195
pack_old_all,custody_scanned_0007.pdf.txt,MEEK2,4,22.56,20.195
pack_old_all,custody_scanned_0051.pdf.txt,MEEK2,4,22.56,20.195
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200.pdf.txt,MEEK2,4,22.06,22.057499999999997
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200_1_.pdf.txt,MEEK2,4,22.06,22.057499999999997
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200_2_.pdf.txt,MEEK2,4,22.06,22.057499999999997
pack_old_all,2sided_judge_orders_scanned_0010.pdf.txt,MEEK4,4,21.49,20.354999999999997
pack_old_all,2sided_judge_orders_scanned_0008.pdf.txt,MEEK4,4,19.44,19.365000000000002
pack_old_all,custody_scanned_0071.pdf.txt,MEEK2,4,18.47,16.925
pack_old_all,custody_scanned2_0015.pdf.txt,MEEK2,4,18.25,17.0075
pack_new_primary_all,dba73432-3966-4a47-9ff7-90bbf1f2f1f2.zip,MEEK4,3,64.49,46.29666666666666
pack_new_primary_all,3055edeb-0469-492a-9865-021bb87dcc03.md,MEEK4,3,47.14,42.473333333333336
pack_new_primary_all,8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,MEEK4,3,47.08,42.406666666666666
pack_new_primary_all,70c49062-1ea0-4e73-a649-32d0a9986474.zip,MEEK2,3,40.43,36.48
